w,w1,l21,l22,w2,FOM
1.5,1.5,6.3,6.3,1.5,2448.051414423777
1.5,1.5,6.3,6.3,1.6,2423.287739899154
1.5,1.5,6.3,6.3,1.7,2433.144919684367
1.5,1.5,6.3,6.3,1.8,2485.9800051024968
1.5,1.5,6.3,6.3,1.9,2453.8539920748754
1.5,1.5,6.3,6.3,2.0,2496.975729857144
1.5,1.5,6.3,6.3,2.1,2474.4009244427866
1.5,1.5,6.3,6.3,2.2,2485.698199262154
1.5,1.5,6.3,6.3,2.3,2497.2022601528024
1.5,1.5,6.3,6.3,2.4,2495.828478772292
1.5,1.5,6.3,6.3,2.5,2523.4762812204262
1.5,1.5,6.3,6.3,2.6,2535.07622354004
1.5,1.5,6.3,6.3,2.7,2533.917588337835
1.5,1.5,6.3,6.3,2.8,2564.0197839876787
1.5,1.5,6.3,6.3,2.9,2579.6040909600606
1.5,1.5,6.3,6.3,3.0,2599.0898084903074
1.5,1.5,6.3,6.3,3.1,2612.419627964475
1.5,1.5,6.3,6.3,3.2,2630.9599891944704
1.5,1.5,6.3,6.3,3.3,2650.5385838995794
1.5,1.5,6.3,6.3,3.4,2670.8387246762513
1.5,1.5,6.3,6.3,3.5,2690.890735967166
1.5,1.5,6.3,6.4,1.5,2417.9203669745975
1.5,1.5,6.3,6.5,1.5,2459.034553602662
1.5,1.5,6.3,6.6,1.5,2471.344321633636
1.5,1.5,6.3,6.7,1.5,2474.3883667554333
1.5,1.5,6.3,6.8,1.0,2422.3829074464174
1.5,1.5,6.3,6.8,1.5,2483.343222139207
1.5,1.5,6.3,6.8,2.0,2489.66902747086
1.5,1.5,6.3,6.8,2.5,2530.3053808150917
1.5,1.5,6.3,6.8,3.0,2604.916764516876
1.5,1.5,6.3,6.8,3.5,2710.143132023622
1.5,1.5,6.3,6.9,1.5,2460.2295528307245
1.5,1.5,6.3,7.0,1.5,2480.301899777745
1.5,1.5,6.3,7.1,1.5,2491.0682697835973
1.5,1.5,6.3,7.2,1.5,2501.0677997373596
1.5,1.5,6.3,7.3,1.0,2511.1832625058687
1.5,1.5,6.3,7.3,1.5,2510.4901378576224
1.5,1.5,6.3,7.3,2.0,2513.264845309531
1.5,1.5,6.3,7.3,2.5,2562.0856624699527
1.5,1.5,6.3,7.3,3.0,2630.212578414412
1.5,1.5,6.3,7.3,3.5,2758.9642289056446
1.5,1.5,6.4,6.3,1.5,2417.95587380666
1.5,1.5,6.5,6.3,1.5,2428.2700366052622
1.5,1.5,6.6,6.3,1.5,2435.3731570813807
1.5,1.5,6.7,6.3,1.5,2473.9515004345403
